,userId,movieId,result3
0,62,110,beautiful
2,62,110,historical
3,62,110,inspirational
9,63,260,classic
14,103,260,great
15,103,296,good
16,103,296,great
18,112,260,classic
21,119,260,classic
23,193,260,classic
32,424,260,classic
43,424,589,nuclear
47,424,2571,martial
56,474,318,wrongful
68,477,593,gothic
72,533,356,lieutenant
73,533,356,stupid
74,537,527,true
79,537,2571,apocalyptic
81,567,356,emotional
85,599,296,achronological
88,599,296,aggressive
93,599,296,atmospheric
95,599,296,bad
96,599,296,bad
98,599,296,bible
99,599,296,biblical
100,599,296,big
101,599,296,big
103,599,296,black
104,599,296,black
110,599,296,casual
113,599,296,classic
114,599,296,classic
119,599,296,cool
123,599,296,classic
128,599,296,dark
129,599,296,dark
131,599,296,different
139,599,296,ensemble
145,599,296,fast-paced
148,599,296,foul
154,599,296,golden
155,599,296,good
156,599,296,good
158,599,296,great
159,599,296,great
160,599,296,great
165,599,296,quotable
172,599,296,innovative
173,599,296,intellectual
192,599,296,multiple
193,599,296,multiple
194,599,296,neo-noir
198,599,296,nonlinear
199,599,296,"nonlinear, narrative"
200,599,296,nonlinear
201,599,296,nonlinear
202,599,296,notable
203,599,296,offensive
206,599,296,original
207,599,296,original
211,599,296,philosophical
212,599,296,pop
213,599,296,psychological
217,599,296,Quotable
218,599,296,disturbing
219,599,296,disturbing
220,599,296,graphic
222,599,296,strong
223,599,296,strong
224,599,296,strong
236,599,296,sophisticated
251,599,296,unpredictable
252,599,296,unusual
253,599,296,funny
